GRASP V.7.11CD    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  CM 10% SDS  
Start: 01-Sep-16   12:23:34   End: 01-Sep-16   12:23:39 
  
Foreground:  93195 , Loaded: 92991:93230 
Background:  91098 , Loaded: 91098 
Cadmium:  90990 , Loaded: 90990 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1e-06 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is In.  Attenuation factor 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator2: is Out 
Attenuator2: Up-scaling data by 1 
  
Beam Centre1 :  Cx = 27.1492  Cy = 127.3257       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.96543 +/- 0.010298  Te = 1 +/- 0.0013531 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Paralax 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.025 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 1 206 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
0.255532	0.0927389	0.0039732	0.0111101
0.261534	0.103002	0.00400466	0.0113711
0.267531	0.10003	0.00398518	0.0116319
0.27348	0.100144	0.00396155	0.0118905
0.279422	0.0995745	0.00392113	0.0121489
0.285401	0.0928955	0.00382341	0.0124088
0.2914	0.0872261	0.0037467	0.0126696
0.29736	0.09212	0.00377657	0.0129288
0.303295	0.0911748	0.00373771	0.0131868
0.309303	0.0905502	0.00366701	0.0134481
0.315358	0.0929903	0.00366412	0.0137113
0.321395	0.0879994	0.00361011	0.0139738
0.327382	0.0886275	0.0036135	0.0142341
0.333349	0.0867201	0.00357475	0.0144935
0.339256	0.0869623	0.0036239	0.0146417
0.345238	0.0879116	0.00374222	0.0148999
0.351199	0.0778909	0.00371481	0.0151572
0.357148	0.0813806	0.00382721	0.0154139
0.36318	0.0870579	0.0041159	0.0154389
0.369223	0.0760877	0.00413387	0.0156958
0.375224	0.0829192	0.00436183	0.0159509
0.381149	0.0791121	0.00438626	0.0159521
0.387142	0.0790671	0.00442998	0.0162029
0.393128	0.0785376	0.00444171	0.0164534
0.39912	0.0778773	0.00443032	0.0167042
0.405149	0.076962	0.00444453	0.0169566
0.411127	0.0788684	0.0045264	0.0172067
0.417027	0.074275	0.00452624	0.0174537
0.42304	0.0690467	0.00438781	0.0177053
0.429093	0.0790999	0.00453941	0.0179587
0.435094	0.0736514	0.00451706	0.0182098
0.441023	0.0793386	0.00460714	0.0184579
0.446927	0.0753389	0.00457345	0.0187051
0.452949	0.0788231	0.00448784	0.0189571
0.459038	0.0776624	0.00455368	0.0192119
0.464976	0.0724525	0.0045734	0.0193057
0.470918	0.073843	0.00455383	0.0195524
0.476961	0.0777559	0.00450935	0.0198033
0.483007	0.0687115	0.00451409	0.0200543
0.488918	0.0712384	0.0045823	0.0202998
0.494914	0.0735856	0.00450228	0.0205487
0.500925	0.0720495	0.00455525	0.0207983
0.506846	0.0705638	0.00457418	0.0210441
0.512897	0.0779725	0.0045197	0.0212954
0.518908	0.069571	0.0045849	0.0215449
0.524778	0.0796979	0.00470227	0.0217887
0.530796	0.0716872	0.00445713	0.0220385
0.536811	0.0697334	0.00455695	0.0222883
0.542692	0.0831477	0.00473303	0.0225325
0.54868	0.0688021	0.00518882	0.0227811
0.554685	0.0679115	0.00561555	0.0230304
0.560731	0.079065	0.00623042	0.0232814
0.56671	0.0741232	0.00678759	0.0235297
0.572656	0.073377	0.00725125	0.0237765
0.578611	0.0700584	0.008008	0.0240238
0.584557	0.0777813	0.00895742	0.0242707
0.590558	0.0803857	0.010397	0.0245198
0.59653	0.0913776	0.0125859	0.0247678
0.602361	0.0646907	0.0155185	0.0250099
0.607919	0.0612197	0.0244838	0.0252407
0.612617	0.00502697	0.0536103	0.0254357
