GRASP V.7.11CD    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  CM 10% SDS  
Start: 01-Sep-16   12:23:24   End: 01-Sep-16   12:23:29 
  
Foreground:  93193 , Loaded: 92991:93230 
Background:  91098 , Loaded: 91098 
Cadmium:  90990 , Loaded: 90990 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1e-06 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is In.  Attenuation factor 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator2: is Out 
Attenuator2: Up-scaling data by 1 
  
Beam Centre1 :  Cx = 27.1492  Cy = 127.3257       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.95103 +/- 0.010242  Te = 1 +/- 0.0013531 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Paralax 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.025 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 1 204 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
0.255615	0.0961243	0.00404035	0.0111138
0.26162	0.0980531	0.00400386	0.0113749
0.267619	0.102665	0.00404536	0.0116357
0.27357	0.0967108	0.0039728	0.0118944
0.279514	0.102396	0.00398178	0.0121528
0.285494	0.0972778	0.00389677	0.0124129
0.291495	0.0898605	0.00380484	0.0126738
0.297457	0.0935951	0.00382522	0.012933
0.303394	0.0924456	0.00378427	0.0131911
0.309405	0.0972294	0.00375406	0.0134525
0.315461	0.0952473	0.00371873	0.0137158
0.321501	0.096294	0.00370852	0.0139784
0.32749	0.0896537	0.00365717	0.0142388
0.333458	0.0860209	0.00360525	0.0144983
0.339368	0.0773078	0.00358456	0.0146465
0.345351	0.0822065	0.00373419	0.0149047
0.351315	0.0857103	0.00381483	0.0151621
0.357265	0.0868788	0.00391161	0.0154189
0.363299	0.0816303	0.00411025	0.015444
0.369344	0.0819393	0.00422615	0.015701
0.375347	0.0764023	0.00434456	0.0159562
0.381274	0.0811661	0.00445112	0.0159573
0.387269	0.0821627	0.00450403	0.0162082
0.393257	0.075463	0.00445474	0.0164588
0.399251	0.0817594	0.00450946	0.0167097
0.405282	0.0854387	0.00457192	0.0169621
0.411261	0.07179	0.00450057	0.0172124
0.417164	0.0804081	0.0046335	0.0174594
0.423179	0.0885202	0.00462155	0.0177111
0.429234	0.0728288	0.00452054	0.0179645
0.435236	0.0814508	0.00463972	0.0182158
0.441167	0.0796521	0.00465222	0.018464
0.447074	0.0790708	0.00465467	0.0187112
0.453098	0.071086	0.0044525	0.0189633
0.459189	0.0752127	0.0045771	0.0192182
0.465129	0.0706262	0.0046021	0.019312
0.471073	0.0769092	0.00463158	0.0195588
0.477118	0.0835313	0.00461136	0.0198098
0.483165	0.0796931	0.00467501	0.0200609
0.489079	0.0715977	0.00463389	0.0203064
0.495076	0.0812292	0.00462664	0.0205555
0.50109	0.0837694	0.00472155	0.0208051
0.507012	0.0779764	0.00469672	0.021051
0.513065	0.0723371	0.00450816	0.0213024
0.519078	0.0745829	0.0046842	0.021552
0.52495	0.0743663	0.00469591	0.0217958
0.53097	0.074376	0.00452946	0.0220457
0.536987	0.0650931	0.00455474	0.0222956
0.54287	0.0786313	0.00473417	0.0225398
0.54886	0.0751977	0.00532033	0.0227885
0.554866	0.0662734	0.00564964	0.0230379
0.560915	0.0812682	0.00632581	0.023289
0.566896	0.0710208	0.0068095	0.0235374
0.572844	0.0728956	0.00731545	0.0237843
0.578801	0.0737664	0.00816212	0.0240317
0.584749	0.0633562	0.0087569	0.0242786
0.590751	0.0879515	0.0106728	0.0245279
0.596726	0.0708406	0.012151	0.0247759
0.602559	0.0477549	0.0149817	0.0250181
0.608118	0.101107	0.0270189	0.0252489
0.612818	0.0467677	0.0611547	0.025444
