GRASP V.7.11CD    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  CM 10% SDS  
Start: 01-Sep-16   12:23:18   End: 01-Sep-16   12:23:23 
  
Foreground:  93192 , Loaded: 92991:93230 
Background:  91098 , Loaded: 91098 
Cadmium:  90990 , Loaded: 90990 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1e-06 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is In.  Attenuation factor 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator2: is Out 
Attenuator2: Up-scaling data by 1 
  
Beam Centre1 :  Cx = 27.1492  Cy = 127.3257       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.95963 +/- 0.010298  Te = 1 +/- 0.0013531 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Paralax 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.025 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 1 203 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
0.255615	0.0926162	0.00399698	0.0111138
0.26162	0.0942346	0.00395998	0.0113749
0.267619	0.0986561	0.00399839	0.0116357
0.27357	0.0974708	0.00396438	0.0118944
0.279514	0.0957027	0.00391356	0.0121528
0.285494	0.0970072	0.00387898	0.0124129
0.291495	0.092289	0.00380932	0.0126738
0.297457	0.0898679	0.00378133	0.012933
0.303394	0.0882783	0.00373755	0.0131911
0.309405	0.0922752	0.00370292	0.0134525
0.315461	0.0869441	0.00364175	0.0137158
0.321501	0.0867414	0.00362166	0.0139784
0.32749	0.0807703	0.00357567	0.0142388
0.333458	0.0823189	0.00356429	0.0144983
0.339368	0.0859734	0.00363776	0.0146465
0.345351	0.0829471	0.00372685	0.0149047
0.351315	0.0796431	0.00375202	0.0151621
0.357265	0.0792661	0.0038347	0.0154189
0.363299	0.0804573	0.00408503	0.015444
0.369344	0.0831659	0.00422201	0.015701
0.375347	0.083887	0.00440021	0.0159562
0.381274	0.0890297	0.00450772	0.0159573
0.387269	0.0795644	0.00446113	0.0162082
0.393257	0.0778211	0.00446221	0.0164588
0.399251	0.078519	0.00446464	0.0167097
0.405282	0.0767774	0.00447109	0.0169621
0.411261	0.0845619	0.0046061	0.0172124
0.417164	0.0749804	0.00456088	0.0174594
0.423179	0.0762522	0.0044868	0.0177111
0.429234	0.0765675	0.0045413	0.0179645
0.435236	0.0765194	0.00457536	0.0182158
0.441167	0.0817731	0.00466033	0.018464
0.447074	0.076038	0.00460756	0.0187112
0.453098	0.0777802	0.00450266	0.0189633
0.459189	0.0683179	0.0044881	0.0192182
0.465129	0.0662169	0.00453781	0.019312
0.471073	0.076984	0.00461281	0.0195588
0.477118	0.0748958	0.00450974	0.0198098
0.483165	0.0740049	0.00459912	0.0200609
0.489079	0.0787219	0.00468859	0.0203064
0.495076	0.0728938	0.00452338	0.0205555
0.50109	0.0715359	0.00457776	0.0208051
0.507012	0.0732779	0.00462998	0.021051
0.513065	0.0748961	0.00451626	0.0213024
0.519078	0.074125	0.00466235	0.021552
0.52495	0.0761913	0.00469557	0.0217958
0.53097	0.0716355	0.0044864	0.0220457
0.536987	0.0636286	0.00452076	0.0222956
0.54287	0.0717819	0.00464118	0.0225398
0.54886	0.0683446	0.00521545	0.0227885
0.554866	0.0775007	0.0057825	0.0230379
0.560915	0.0815907	0.00630456	0.023289
0.566896	0.0698167	0.00676361	0.0235374
0.572844	0.0725108	0.0072808	0.0237843
0.578801	0.0840276	0.00832073	0.0240317
0.584749	0.07777	0.00901832	0.0242786
0.590751	0.0675557	0.0101481	0.0245279
0.596726	0.0813093	0.01239	0.0247759
0.602559	0.0988252	0.0168487	0.0250181
0.608118	0.078733	0.0256719	0.0252489
0.612818	0.160083	0.0767117	0.025444
