GRASP V.7.11CD    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  CM 10% SDS  
Start: 01-Sep-16   12:23:29   End: 01-Sep-16   12:23:34 
  
Foreground:  93194 , Loaded: 92991:93230 
Background:  91098 , Loaded: 91098 
Cadmium:  90990 , Loaded: 90990 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1e-06 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is In.  Attenuation factor 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator2: is Out 
Attenuator2: Up-scaling data by 1 
  
Beam Centre1 :  Cx = 27.1492  Cy = 127.3257       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.96022 +/- 0.010227  Te = 1 +/- 0.0013531 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Paralax 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.025 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 1 205 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
0.255532	0.0991859	0.00401921	0.0111101
0.261534	0.0956783	0.00394138	0.0113711
0.267531	0.0946782	0.00393705	0.0116319
0.27348	0.0906428	0.00388121	0.0118905
0.279422	0.0939746	0.00387148	0.0121489
0.285401	0.0961223	0.00384262	0.0124088
0.2914	0.0944448	0.00379616	0.0126696
0.29736	0.0962848	0.00380263	0.0129288
0.303295	0.0940587	0.00375432	0.0131868
0.309303	0.0903236	0.00365978	0.0134481
0.315358	0.0870279	0.00361541	0.0137113
0.321395	0.0900569	0.00362022	0.0139738
0.327382	0.0874209	0.00359856	0.0142341
0.333349	0.0828309	0.00354106	0.0144935
0.339256	0.0847999	0.00360403	0.0146417
0.345238	0.084163	0.00370823	0.0148999
0.351199	0.0815621	0.0037399	0.0151572
0.357148	0.0794801	0.00380682	0.0154139
0.36318	0.0785705	0.00403853	0.0154389
0.369223	0.0791844	0.00415378	0.0156958
0.375224	0.078256	0.00431415	0.0159509
0.381149	0.0772376	0.00436409	0.0159521
0.387142	0.081226	0.00444308	0.0162029
0.393128	0.0836948	0.00448589	0.0164534
0.39912	0.0815196	0.00446108	0.0167042
0.405149	0.0735893	0.00440571	0.0169566
0.411127	0.0793413	0.00452438	0.0172067
0.417027	0.0748747	0.00452475	0.0174537
0.42304	0.0685565	0.00437642	0.0177053
0.429093	0.0755925	0.00449926	0.0179587
0.435094	0.0736297	0.00450945	0.0182098
0.441023	0.0786116	0.00459063	0.0184579
0.446927	0.0837909	0.00464979	0.0187051
0.452949	0.0755838	0.00444829	0.0189571
0.459038	0.0808321	0.00458164	0.0192119
0.464976	0.0742662	0.00458748	0.0193057
0.470918	0.0703225	0.00451224	0.0195524
0.476961	0.076295	0.00448762	0.0198033
0.483007	0.0718289	0.00454376	0.0200543
0.488918	0.0758532	0.00462283	0.0202998
0.494914	0.0783118	0.0045446	0.0205487
0.500925	0.0691467	0.00451832	0.0207983
0.506846	0.0769886	0.00463229	0.0210441
0.512897	0.0821134	0.00455466	0.0212954
0.518908	0.0719557	0.00460379	0.0215449
0.524778	0.0687123	0.0045819	0.0217887
0.530796	0.0708023	0.00444184	0.0220385
0.536811	0.074286	0.00460118	0.0222883
0.542692	0.0726345	0.00461701	0.0225325
0.54868	0.0705264	0.00520306	0.0227811
0.554685	0.0734241	0.00568432	0.0230304
0.560731	0.0621278	0.00597761	0.0232814
0.56671	0.0739735	0.00677612	0.0235297
0.572656	0.0782782	0.00732562	0.0237765
0.578611	0.0679018	0.0079548	0.0240238
0.584557	0.0693557	0.00878294	0.0242707
0.590558	0.0742426	0.0102329	0.0245198
0.59653	0.0734785	0.012085	0.0247678
0.602361	0.0736304	0.0158355	0.0250099
0.607919	0.0949249	0.0263514	0.0252407
0.612617	0.155113	0.0754692	0.0254357
