GRASP V.7.11CD    Instrument:  ILL_d22 
  
***** Sample, Backgrounds and Transmissions Data: ***** 
Subtitle:  CM 10% SDS  
Start: 01-Sep-16   12:23:13   End: 01-Sep-16   12:23:18 
  
Foreground:  93191 , Loaded: 92991:93230 
Background:  91098 , Loaded: 91098 
Cadmium:  90990 , Loaded: 90990 
Det: 1 : Applying Deadtime Correction per (vertical) Tube: 1/[1-tau/detector_rate], tau = 1e-06 (seconds) 
Data Normalisation: Standard Monitor (10000000) counts 
Attenuator: 0 is In.  Attenuation factor 1 
Attenuator: 0 is In. Up-scaling data by 1 
Attenuator2: is Out 
Attenuator2: Up-scaling data by 1 
  
Beam Centre1 :  Cx = 27.1492  Cy = 127.3257       Cm Translation :  Tx = 0  Ty = 0 [mm] 
Transmissions:  Ts = 0.97203 +/- 0.010336  Te = 1 +/- 0.0013531 
Transmissions Thickness Correction is:  on 
Applying standard SANS data reduction:  I_corr = 1/[Ts Te] [I_s - I_cd]  - 1/[Te] [I_bck - I_cd] 
  
***** Calibrations: ***** 
Data: Corrected for D22 Detector Paralax 
Data: Corrected for Detector Efficiency (doesn't change magnitude but contains curvature correction) 
Data: Divided by Volume 0.025 cm3 
Solid Angle Correction: 
Divide data by empty beam flux, I0, from worksheet: I0 Beam Intensity 1 202 
Applying Default Instrument Mask 
Applying User Defined Mask 
Applying NanInf Mask 
Intensity units are:  cm-1 \\ \Delta\Omega  
  
***** Analysis ***** 
Averaging I vs. Q.  Bin size:  1 [Pixel(s)] 
 
 
Mod_Q   	I       	Err_I   	Sigma_Q
0.255615	0.0949532	0.00397902	0.0111138
0.26162	0.0915976	0.00390164	0.0113749
0.267619	0.0927151	0.00391519	0.0116357
0.27357	0.0966561	0.00392083	0.0118944
0.279514	0.0896038	0.00382976	0.0121528
0.285494	0.0909465	0.00379672	0.0124129
0.291495	0.090641	0.00376077	0.0126738
0.297457	0.0845533	0.00370577	0.012933
0.303394	0.0834418	0.00366612	0.0131911
0.309405	0.0815794	0.00358735	0.0134525
0.315461	0.086537	0.00360475	0.0137158
0.321501	0.0814197	0.00354806	0.0139784
0.32749	0.0811975	0.00354551	0.0142388
0.333458	0.0788328	0.0035047	0.0144983
0.339368	0.0757621	0.00352639	0.0146465
0.345351	0.0783668	0.00365607	0.0149047
0.351315	0.074696	0.00367733	0.0151621
0.357265	0.0746856	0.00376074	0.0154189
0.363299	0.0723696	0.00397781	0.015444
0.369344	0.077648	0.00413299	0.015701
0.375347	0.0715659	0.00424208	0.0159562
0.381274	0.0715309	0.00430186	0.0159573
0.387269	0.0752993	0.00438052	0.0162082
0.393257	0.0707649	0.00435293	0.0164588
0.399251	0.0695322	0.00433681	0.0167097
0.405282	0.0735785	0.00439895	0.0169621
0.411261	0.0783315	0.00450466	0.0172124
0.417164	0.0625388	0.00439646	0.0174594
0.423179	0.0749592	0.00443032	0.0177111
0.429234	0.0774125	0.0045065	0.0179645
0.435236	0.0671526	0.00443888	0.0182158
0.441167	0.0664527	0.0044592	0.018464
0.447074	0.0670769	0.0044726	0.0187112
0.453098	0.067893	0.00436489	0.0189633
0.459189	0.0706633	0.00447217	0.0192182
0.465129	0.072765	0.00456344	0.019312
0.471073	0.0676428	0.00447517	0.0195588
0.477118	0.0679994	0.0043968	0.0198098
0.483165	0.0744563	0.00455855	0.0200609
0.489079	0.0696971	0.00455032	0.0203064
0.495076	0.0666634	0.00441788	0.0205555
0.50109	0.0650749	0.00446766	0.0208051
0.507012	0.0716745	0.00456643	0.021051
0.513065	0.0612866	0.00433361	0.0213024
0.519078	0.0751487	0.0046292	0.021552
0.52495	0.0708117	0.00459551	0.0217958
0.53097	0.0665376	0.00439133	0.0220457
0.536987	0.0647267	0.00448903	0.0222956
0.54287	0.0680348	0.0045584	0.0225398
0.54886	0.0682137	0.00516347	0.0227885
0.554866	0.0600309	0.00549151	0.0230379
0.560915	0.0708694	0.00609187	0.023289
0.566896	0.0802486	0.00686271	0.0235374
0.572844	0.0586832	0.00697213	0.0237843
0.578801	0.0556705	0.00770313	0.0240317
0.584749	0.0647072	0.00866416	0.0242786
0.590751	0.0690938	0.0100902	0.0245279
0.596726	0.0968634	0.0126976	0.0247759
0.602559	0.0547113	0.0150671	0.0250181
0.608118	0.0874406	0.0258455	0.0252489
0.612818	0.0787903	0.0650848	0.025444
